payment_id,ref,corridor,amount,currency,status,created_at
P001,R001,RUB/THB,100000,RUB,success,2026-08-01
P002,R002,RUB/THB,50000,RUB,success,2026-08-01
P003,R003,USD/THB,2000,USD,success,2026-08-02
P004,R004,RUB/THB,75000,RUB,success,2026-08-02
P005,R005,USD/THB,1500,USD,success,2026-08-03
P006,R006,RUB/THB,30000,RUB,pending,2026-08-03
P007,R007,USD/THB,3000,USD,success,2026-08-04
P008,R008,RUB/THB,45000,RUB,success,2026-08-04
P009,R009,USD/THB,2500,USD,success,2026-08-05
P010,R010,RUB/THB,60000,RUB,failed,2026-08-05
P011,R011,USD/THB,1000,USD,success,2026-08-06
P012,R012,RUB/THB,25000,RUB,success,2026-08-06
